branch,task,channel,time_s,common,difference
P0_LARGER_PADDING,2,Fz,-0.09765625,0.041010947518576174,-0.34043520186381937
P0_LARGER_PADDING,2,Fz,-0.09375,-0.33158982279797011,-0.32697704074804135
P0_LARGER_PADDING,2,Fz,-0.08984375,-0.60537807120189924,-0.11756932461058567
P0_LARGER_PADDING,2,Fz,-0.0859375,-0.78356897417480842,0.22377026819905133
P0_LARGER_PADDING,2,Fz,-0.08203125,-0.90977128737949842,0.59534240266963567
P0_LARGER_PADDING,2,Fz,-0.078125,-1.0502413845003247,0.90359162000405058
P0_LARGER_PADDING,2,Fz,-0.07421875,-1.2648945226114297,1.1013937459959477
P0_LARGER_PADDING,2,Fz,-0.0703125,-1.5784841838640475,1.1993716810591764
P0_LARGER_PADDING,2,Fz,-0.06640625,-1.9642665389544036,1.2480508776619701
P0_LARGER_PADDING,2,Fz,-0.0625,-2.3483280298988549,1.3051047631702095
P0_LARGER_PADDING,2,Fz,-0.05859375,-2.6351851455742321,1.4067717928057997
P0_LARGER_PADDING,2,Fz,-0.0546875,-2.7447286156694277,1.5541455110821436
P0_LARGER_PADDING,2,Fz,-0.05078125,-2.6418914552713963,1.7139778572573972
P0_LARGER_PADDING,2,Fz,-0.046875,-2.3433229536142628,1.8303145790932231
P0_LARGER_PADDING,2,Fz,-0.04296875,-1.9014972773379115,1.8447098862175912
P0_LARGER_PADDING,2,Fz,-0.0390625,-1.3824490511045482,1.7191891188572597
P0_LARGER_PADDING,2,Fz,-0.03515625,-0.85355374245478188,1.4496703560906177
P0_LARGER_PADDING,2,Fz,-0.03125,-0.38349037683380899,1.062006775407023
P0_LARGER_PADDING,2,Fz,-0.02734375,-0.043428146331242173,0.59884886880018717
P0_LARGER_PADDING,2,Fz,-0.0234375,0.10132903286229328,0.11207767442101896
P0_LARGER_PADDING,2,Fz,-0.01953125,0.0097134896919499336,-0.33908167456906418
P0_LARGER_PADDING,2,Fz,-0.015625,-0.31569954095640729,-0.69883109322348624
P0_LARGER_PADDING,2,Fz,-0.01171875,-0.82001613914517524,-0.93914891909037401
P0_LARGER_PADDING,2,Fz,-0.0078125,-1.4064535549123061,-1.0794045253356197
P0_LARGER_PADDING,2,Fz,-0.00390625,-1.9659736642505492,-1.1788376754000371
P0_LARGER_PADDING,2,Fz,0,-2.4155335602599521,-1.3013819743735824
P0_LARGER_PADDING,2,Fz,0.00390625,-2.7278269223036817,-1.4757067271728335
P0_LARGER_PADDING,2,Fz,0.0078125,-2.9387601173084459,-1.6764349883813172
P0_LARGER_PADDING,2,Fz,0.01171875,-3.1297005151457693,-1.8374227665388312
P0_LARGER_PADDING,2,Fz,0.015625,-3.391906110881957,-1.888989782059542
P0_LARGER_PADDING,2,Fz,0.01953125,-3.786635762580802,-1.7973619680878743
P0_LARGER_PADDING,2,Fz,0.0234375,-4.3170625359969508,-1.5815717285256743
P0_LARGER_PADDING,2,Fz,0.02734375,-4.925717920026254,-1.2958677161681535
P0_LARGER_PADDING,2,Fz,0.03125,-5.5201453973462344,-0.98967881047645889
P0_LARGER_PADDING,2,Fz,0.03515625,-6.0131727898692215,-0.67342049509623791
P0_LARGER_PADDING,2,Fz,0.0390625,-6.3553475502085437,-0.31233296712393344
P0_LARGER_PADDING,2,Fz,0.04296875,-6.5446509101392776,0.15042830998194212
P0_LARGER_PADDING,2,Fz,0.046875,-6.6155053096991532,0.75702814310683486
P0_LARGER_PADDING,2,Fz,0.05078125,-6.6191750554899045,1.5045326226310785
P0_LARGER_PADDING,2,Fz,0.0546875,-6.6053706430164185,2.3371824722001406
P0_LARGER_PADDING,2,Fz,0.05859375,-6.609229847000055,3.1677125796098684
P0_LARGER_PADDING,2,Fz,0.0625,-6.6461843255626043,3.9169391391377815
P0_LARGER_PADDING,2,Fz,0.06640625,-6.7160690514926111,4.5465463798146732
P0_LARGER_PADDING,2,Fz,0.0703125,-6.813395033882065,5.0637925710096567
P0_LARGER_PADDING,2,Fz,0.07421875,-6.9370499525321376,5.4976221956303437
P0_LARGER_PADDING,2,Fz,0.078125,-7.0941411409880892,5.8653919370776437
P0_LARGER_PADDING,2,Fz,0.08203125,-7.2969529543648477,6.1539619553390201
P0_LARGER_PADDING,2,Fz,0.0859375,-7.5553547487888286,6.3282146711467799
P0_LARGER_PADDING,2,Fz,0.08984375,-7.869013294187809,6.3617133893427473
P0_LARGER_PADDING,2,Fz,0.09375,-8.2239793118567999,6.2676277107551526
P0_LARGER_PADDING,2,Fz,0.09765625,-8.5951810114374663,6.1043346645865038
P0_LARGER_PADDING,2,Fz,0.1015625,-8.9521213293045694,5.9466451901391393
P0_LARGER_PADDING,2,Fz,0.10546875,-9.2646538617182586,5.841344774221171
P0_LARGER_PADDING,2,Fz,0.109375,-9.5093075853343905,5.7800134646744024
P0_LARGER_PADDING,2,Fz,0.11328125,-9.6779872292854119,5.708097070337903
P0_LARGER_PADDING,2,Fz,0.1171875,-9.786727861027213,5.5612557929352127
P0_LARGER_PADDING,2,Fz,0.12109375,-9.8777008664667036,5.304545133044317
P0_LARGER_PADDING,2,Fz,0.125,-10.009076440443071,4.9550720046106163
P0_LARGER_PADDING,2,Fz,0.12890625,-10.234134053097891,4.5814755282178004
P0_LARGER_PADDING,2,Fz,0.1328125,-10.577880526491185,4.2820757177538535
P0_LARGER_PADDING,2,Fz,0.13671875,-11.022080842563303,4.1493647115766983
P0_LARGER_PADDING,2,Fz,0.140625,-11.506978045464685,4.2355890392974604
P0_LARGER_PADDING,2,Fz,0.14453125,-11.951129609595037,4.5358087183207516
P0_LARGER_PADDING,2,Fz,0.1484375,-12.282003563912962,4.9932221963392234
P0_LARGER_PADDING,2,Fz,0.15234375,-12.463563522662888,5.5163311951249749
P0_LARGER_PADDING,2,Fz,0.15625,-12.507919884170867,5.9968821420139768
P0_LARGER_PADDING,2,Fz,0.16015625,-12.466734329011473,6.3297328831368258
P0_LARGER_PADDING,2,Fz,0.1640625,-12.408696881756619,6.4396069607123447
P0_LARGER_PADDING,2,Fz,0.16796875,-12.395118750480179,6.3073488093646919
P0_LARGER_PADDING,2,Fz,0.171875,-12.464192179351773,5.9784303718937579
P0_LARGER_PADDING,2,Fz,0.17578125,-12.628204186522634,5.5458694840822229
P0_LARGER_PADDING,2,Fz,0.1796875,-12.880713630851933,5.1183141938806234
P0_LARGER_PADDING,2,Fz,0.18359375,-13.206028326634463,4.7906794437061606
P0_LARGER_PADDING,2,Fz,0.1875,-13.584443569375999,4.6264948811451081
P0_LARGER_PADDING,2,Fz,0.19140625,-13.993118890956648,4.6513992761455771
P0_LARGER_PADDING,2,Fz,0.1953125,-14.407557834321649,4.8532565741533098
P0_LARGER_PADDING,2,Fz,0.19921875,-14.806347369704252,5.1842795818740885
P0_LARGER_PADDING,2,Fz,0.203125,-15.175929443952636,5.5645295683164893
P0_LARGER_PADDING,2,Fz,0.20703125,-15.51149421998128,5.8931544022475535
P0_LARGER_PADDING,2,Fz,0.2109375,-15.814488154445888,6.0740839069168224
P0_LARGER_PADDING,2,Fz,0.21484375,-16.089028762338756,6.0504886581962403
P0_LARGER_PADDING,2,Fz,0.21875,-16.337279783459941,5.8285806546522494
P0_LARGER_PADDING,2,Fz,0.22265625,-16.553387302231506,5.4734712599184583
P0_LARGER_PADDING,2,Fz,0.2265625,-16.71875156377401,5.0775726830402501
P0_LARGER_PADDING,2,Fz,0.23046875,-16.803593432406803,4.7187571530469441
P0_LARGER_PADDING,2,Fz,0.234375,-16.777173330020794,4.4303560655469418
P0_LARGER_PADDING,2,Fz,0.23828125,-16.623070113874036,4.200043820847295
P0_LARGER_PADDING,2,Fz,0.2421875,-16.351706039884377,4.000944797570515
P0_LARGER_PADDING,2,Fz,0.24609375,-16.003289528828653,3.8366881391327912
P0_LARGER_PADDING,2,Fz,0.25,-15.638699456314466,3.7671900660422892
P0_LARGER_PADDING,2,Fz,0.25390625,-15.320393266340322,3.8920899219826648
P0_LARGER_PADDING,2,Fz,0.2578125,-15.090200460686521,4.2986544901839867
P0_LARGER_PADDING,2,Fz,0.26171875,-14.954531028016621,5.0044874019974674
P0_LARGER_PADDING,2,Fz,0.265625,-14.885019004769671,5.9269865990244046
P0_LARGER_PADDING,2,Fz,0.26953125,-14.833573630258275,6.8971434663206708
P0_LARGER_PADDING,2,Fz,0.2734375,-14.752667846550732,7.7152842766535823
P0_LARGER_PADDING,2,Fz,0.27734375,-14.610278993043961,8.2257650375780749
P0_LARGER_PADDING,2,Fz,0.28125,-14.393659264135337,8.3748286153662743
P0_LARGER_PADDING,2,Fz,0.28515625,-14.104204853426282,8.2234157786823712
P0_LARGER_PADDING,2,Fz,0.2890625,-13.752310626005734,7.9138447192892922
P0_LARGER_PADDING,2,Fz,0.29296875,-13.359578655937632,7.6136945195583507
P0_LARGER_PADDING,2,Fz,0.296875,-12.965739596421352,7.4616653691401602
P0_LARGER_PADDING,2,Fz,0.30078125,-12.628913290055895,7.5265540256959778
P0_LARGER_PADDING,2,Fz,0.3046875,-12.410189318121127,7.7854167166880774
P0_LARGER_PADDING,2,Fz,0.30859375,-12.346302560491413,8.1329049757785512
P0_LARGER_PADDING,2,Fz,0.3125,-12.426786376864243,8.4284205199473874
P0_LARGER_PADDING,2,Fz,0.31640625,-12.592423238655954,8.5631769578680288
P0_LARGER_PADDING,2,Fz,0.3203125,-12.758237486026388,8.5097863550944748
P0_LARGER_PADDING,2,Fz,0.32421875,-12.848441179521117,8.3260289636596401
