task,channel,contrast,block_size,record_id,n_blocks,effect,lag1_correlation,skewness,time_trend_rho,time_trend_p_diagnostic
1,F3,difference,20,B_Task-1,5,-12.451643221543572,0.69955158449306454,-0.76896683906333174,0.8999999999999998,0.037386073468498739
1,F4,common,20,A_Task-1,5,-0.81175247838532871,-0.215723855651516,1.6794425572363776,0.19999999999999998,0.74706007810466202
1,F4,common,20,B_Task-1,5,-2.1051938589696588,-0.44953749956687405,0.25150583444586283,0,1
1,F4,difference,20,A_Task-1,5,3.205865607378859,-0.9455949213623227,0.53471378257386026,0.099999999999999992,0.87288857156953825
1,F4,difference,20,B_Task-1,5,-2.1461719416006675,-0.23406641828386004,0.38876787363174714,0.19999999999999998,0.74706007810466202
1,Fz,common,20,A_Task-1,5,-0.74338912700696302,0.043685177071291853,1.5750395307719003,-0.79999999999999993,0.10408803866182788
1,Fz,common,20,B_Task-1,5,-44.228133695922622,-0.023895487267417987,-0.69360965294633981,0.19999999999999998,0.74706007810466202
1,Fz,difference,20,A_Task-1,5,-2.5248409173924657,-0.28447369921349086,-0.078805231833159475,0.49999999999999994,0.39100221895577053
1,Fz,difference,20,B_Task-1,5,-94.699043184995105,-0.0098568961739990933,-0.55043278492869852,-0.099999999999999992,0.87288857156953825
2,F3,common,20,A_Task-2,5,14.045710182285481,-0.73500088832043597,-0.50397564253587868,-0.29999999999999999,0.62383766478107283
2,F3,common,20,B_Task-2,5,12.991735192682853,-0.89788712347509358,-0.12352363985119423,0.29999999999999999,0.62383766478107283
2,F3,difference,20,A_Task-2,5,-14.14371806753336,-0.086080205906622659,-0.15753919200044353,-0.39999999999999997,0.50463157546869108
2,F3,difference,20,B_Task-2,5,-6.4100479338518657,-0.10952043006861781,-1.724489907475955,0.29999999999999999,0.62383766478107283
2,F4,common,20,A_Task-2,5,-27.212803954272239,-0.091319034834020804,-0.26660294873238749,-0.099999999999999992,0.87288857156953825
2,F4,common,20,B_Task-2,5,-7.4682984768208911,-0.81096487011394924,-0.137906848090115,-0.099999999999999992,0.87288857156953825
2,F4,difference,20,A_Task-2,5,-24.221514306759325,-0.69964665959387407,1.1668036288635391,-0.29999999999999999,0.62383766478107283
2,F4,difference,20,B_Task-2,5,-52.682652314818164,0.0038826917527268129,-0.76652304475063171,0.29999999999999999,0.62383766478107283
2,Fz,common,20,A_Task-2,5,-19.408629909454909,-0.87297175333125365,-0.21309739839032332,-0.49999999999999994,0.39100221895577053
2,Fz,common,20,B_Task-2,5,-24.803127055567671,0.0026726792606398542,0.64948105771310838,0.099999999999999992,0.87288857156953825
2,Fz,difference,20,A_Task-2,5,-3.6260382493178023,-0.082998989885299662,-0.50736489718306821,-0.29999999999999999,0.62383766478107283
2,Fz,difference,20,B_Task-2,5,11.906986617359284,-0.4455627941543161,0.069470175939615811,0.49999999999999994,0.39100221895577053
