task,record_id,block,block_size,channel,n_left,n_right,left,right,common,difference
1,A_Task-1,15,5,F3,4,1,-25.940630813428861,-12.655236766391976,-19.297933789910417,-13.285394047036885
1,A_Task-1,15,5,F4,4,1,14.558588559723272,-20.756695135207998,-3.0990532877423629,35.315283694931267
1,A_Task-1,16,5,Fz,3,2,-0.4867970006181821,-4.0938926690076549,-2.2903448348129185,3.6070956683894728
1,A_Task-1,16,5,F3,3,2,-13.113692360795076,-19.864658973100831,-16.489175666947954,6.7509666123057546
1,A_Task-1,16,5,F4,3,2,-9.1585462048491451,-23.081519478914501,-16.120032841881823,13.922973274065356
1,A_Task-1,18,5,Fz,2,3,-11.469739619680213,-7.1563854022139211,-9.3130625109470664,-4.3133542174662924
1,A_Task-1,18,5,F3,2,3,-27.057445555187854,-6.2624134854257676,-16.659929520306811,-20.795032069762087
1,A_Task-1,18,5,F4,2,3,-17.721765804766608,-5.3661653458927141,-11.543965575329661,-12.355600458873894
1,A_Task-1,19,5,Fz,2,3,-9.8457888312397461,2.3176872289669865,-3.7640508011363796,-12.163476060206733
1,A_Task-1,19,5,F3,2,3,17.814693279375653,-25.45352515714784,-3.8194159388860935,43.268218436523497
1,A_Task-1,19,5,F4,2,3,1.431748298623722,-24.777003529519018,-11.672627615447649,26.208751828142738
2,A_Task-2,0,5,Fz,3,2,-2.8344282257763553,-0.47888416046192755,-1.6566561931191415,-2.3555440653144277
2,A_Task-2,0,5,F3,3,2,-13.151380424910471,40.690915518044299,13.769767546566914,-53.84229594295477
2,A_Task-2,0,5,F4,3,2,-5.3164725203759335,29.405576744948082,12.044552112286073,-34.722049265324017
2,A_Task-2,1,5,Fz,3,2,-24.257724896767005,-23.35651554079228,-23.807120218779644,-0.90120935597472496
2,A_Task-2,1,5,F3,3,2,-2.8826828136220257,-33.742450993537794,-18.31256690357991,30.859768179915768
2,A_Task-2,1,5,F4,3,2,-19.795156500149023,-34.316930402261043,-27.056043451205035,14.52177390211202
2,A_Task-2,2,5,Fz,2,3,-39.261015935308052,9.6029965931277594,-14.829009671090146,-48.864012528435808
2,A_Task-2,2,5,F3,2,3,-38.37406780034808,46.85238579598677,4.2391589978193451,-85.226453596334849
2,A_Task-2,2,5,F4,2,3,-55.767106525806973,32.032850884374703,-11.867127820716135,-87.799957410181676
2,A_Task-2,3,5,Fz,3,2,-18.202851146616073,12.635970903597622,-2.7834401215092255,-30.838822050213693
2,A_Task-2,3,5,F3,3,2,-18.140509219695993,14.903369365624485,-1.6185699270357539,-33.043878585320478
2,A_Task-2,3,5,F4,3,2,-17.972350880034398,14.750035212594213,-1.6111578337200925,-32.722386092628611
2,A_Task-2,4,5,Fz,2,3,-64.720005224456713,-28.050459711422146,-46.385232467939431,-36.669545513034564
2,A_Task-2,4,5,F3,2,3,-59.567156569942618,-39.558455224110922,-49.56280589702677,-20.008701345831696
2,A_Task-2,4,5,F4,2,3,-73.06909416517945,-53.01464816962914,-63.041871167404295,-20.05444599555031
2,A_Task-2,5,5,Fz,2,3,-2.8404974976024935,-39.687663356930727,-21.26408042726661,36.847165859328236
2,A_Task-2,5,5,F3,2,3,632.97298382284123,-35.45893686673157,298.7570234780548,668.43192068957285
2,A_Task-2,5,5,F4,2,3,-20.497797548542131,-53.272394048262392,-36.885095798402261,32.774596499720261
2,A_Task-2,6,5,Fz,4,1,-17.744799256394607,-156.16276623257133,-86.953782744482965,138.41796697617673
2,A_Task-2,6,5,F3,4,1,26.144653333198516,55.027212852879074,40.585933093038797,-28.882559519680559
2,A_Task-2,6,5,F4,4,1,-24.754159911116087,-210.23226706311087,-117.49321348711348,185.47810715199478
2,A_Task-2,7,5,Fz,2,3,2.4139955292687469,7.0758802642421088,4.7449378967554274,-4.6618847349733619
2,A_Task-2,7,5,F3,2,3,8.4682857622268202,143.33179146746528,75.900038614846054,-134.86350570523845
2,A_Task-2,7,5,F4,2,3,14.089641762205028,10.445225387696183,12.267433574950605,3.6444163745088449
2,A_Task-2,9,5,Fz,3,2,-3.4735886633092261,17.337090038672955,6.9317506876818644,-20.81067870198218
2,A_Task-2,9,5,F3,3,2,-9.1219980845601558,54.814192740010462,22.846097327725154,-63.936190824570616
2,A_Task-2,9,5,F4,3,2,-5.8333015209779155,45.892999180968417,20.029848829995252,-51.726300701946329
2,A_Task-2,10,5,Fz,3,2,22.040737537114747,-23.693043807329367,-0.82615313510730992,45.733781344444111
2,A_Task-2,10,5,F3,3,2,38.809927063371248,-36.61913574594972,1.0953956587107641,75.429062809320968
2,A_Task-2,10,5,F4,3,2,67.404723777782664,-39.562283785037394,13.921219996372635,106.96700756282006
2,A_Task-2,12,5,Fz,3,2,-19.082792710988482,-61.213089057874278,-40.147940884431378,42.1302963468858
2,A_Task-2,12,5,F3,3,2,245.13518940033342,45.213603242288755,145.17439632131109,199.92158615804465
2,A_Task-2,12,5,F4,3,2,-16.505816554814313,-95.800457148610036,-56.153136851712176,79.294640593795719
2,A_Task-2,13,5,Fz,3,2,-35.041008765642225,-43.477036087857456,-39.259022426749837,8.4360273222152315
2,A_Task-2,13,5,F3,3,2,-40.83432639184273,19.281943759630295,-10.776191316106217,-60.116270151473024
