task,record_id,block,block_size,channel,n_left,n_right,left,right,common,difference
1,B_Task-1,2,10,F4,1,9,-5.940632814099696,-25.779423779955081,-15.860028297027389,19.838790965855384
1,B_Task-1,3,10,Fz,6,4,-269.28488656688,-10.387953855700275,-139.83642021129015,-258.89693271117972
1,B_Task-1,3,10,F3,6,4,-20.189937968956496,9.4537229931803193,-5.3681074878880883,-29.643660962136813
1,B_Task-1,3,10,F4,6,4,-7.1862930969763807,6.1121599003600311,-0.53706659830817483,-13.298452997336412
1,B_Task-1,4,10,Fz,4,6,-44.810918968979287,5.4949334385288537,-19.657992765225217,-50.305852407508141
1,B_Task-1,4,10,F3,4,6,-24.022245466152913,-27.257278898657432,-25.639762182405171,3.2350334325045189
1,B_Task-1,4,10,F4,4,6,22.396978701624914,-30.563689564584703,-4.0833554314798945,52.960668266209616
1,B_Task-1,5,10,Fz,3,7,-449.98203158810151,26.850481537640039,-211.56577502523072,-476.83251312574157
1,B_Task-1,5,10,F3,3,7,-8.9314002274918014,12.739660892508693,1.904130332508446,-21.671061120000495
1,B_Task-1,5,10,F4,3,7,-11.399610025747746,-7.9617641823361378,-9.680687104041942,-3.4378458434116084
1,B_Task-1,6,10,Fz,7,3,-13.878240343694314,69.052016465068917,27.586888060687301,-82.930256808763232
1,B_Task-1,6,10,F3,7,3,7.2125078253433577,2.4439371881642025,4.8282225067537805,4.7685706371791552
1,B_Task-1,6,10,F4,7,3,5.8104917543887993,-1.880466880599166,1.9650124368948165,7.6909586349879655
1,B_Task-1,7,10,Fz,6,4,-14.314710430394067,2.3452305238649021,-5.9847399532645822,-16.659940954258968
1,B_Task-1,7,10,F3,6,4,14.133248538288997,20.68229988291818,17.407774210603588,-6.5490513446291825
1,B_Task-1,7,10,F4,6,4,-6.3720931559951088,27.651381943162697,10.639644393583794,-34.023475099157807
1,B_Task-1,8,10,Fz,7,3,2.6346744713342329,180.75885460628774,91.696764538810982,-178.12418013495352
1,B_Task-1,8,10,F3,7,3,-22.987409721251414,26.152980873904479,1.5827855763265326,-49.140390595155893
1,B_Task-1,8,10,F4,7,3,-15.254758088754718,8.2554711669872116,-3.4996434608837532,-23.51022925574193
1,B_Task-1,9,10,Fz,3,7,-14.387194904557335,-80.22920307167081,-47.308198988114071,65.842008167113477
1,B_Task-1,9,10,F3,3,7,16.103738238115643,-17.277912154686053,-0.58708695828520518,33.381650392801696
1,B_Task-1,9,10,F4,3,7,7.3973790040177363,-8.7794371740264587,-0.69102908500436122,16.176816178044195
2,B_Task-2,0,10,Fz,5,5,-6.2750906205391983,-16.274693766584925,-11.274892193562062,9.9996031460457253
