task,condition,channel,method,time_s,mean,ci_low,ci_high
2,1,Fz,SELECTED,0.62890625,35.967460810701027,27.020926494915731,48.109005583427724
2,1,Fz,SELECTED,0.6328125,37.234641925733882,28.157620608259776,49.478928952259636
2,1,Fz,SELECTED,0.63671875,38.465632971650095,29.056200663892295,50.840128391766612
2,1,Fz,SELECTED,0.640625,39.672117065453129,29.815336495262315,52.164246505745304
2,1,Fz,SELECTED,0.64453125,40.859185600407059,30.506473075451598,53.505670786958412
2,1,Fz,SELECTED,0.6484375,42.025299446652475,31.334015924117345,54.670955762030111
2,1,Fz,SELECTED,0.65234375,43.165641676134193,32.13248999369398,55.881739370482357
2,1,Fz,SELECTED,0.65625,44.274476399420188,32.866248430036528,57.42879692503174
2,1,Fz,SELECTED,0.66015625,45.344056032311947,33.796992271310963,58.492263635294762
2,1,Fz,SELECTED,0.6640625,46.361968161643794,34.603917578895768,59.321995049819485
2,1,Fz,SELECTED,0.66796875,47.309872953212114,35.426782410350292,60.029716919327974
2,1,Fz,SELECTED,0.671875,48.164715622349348,36.395984724407775,60.737091243202279
2,1,Fz,SELECTED,0.67578125,48.902593244619027,37.427826046479588,61.04624791362739
2,1,Fz,SELECTED,0.6796875,49.505617074372935,38.087970267011116,61.667987248727847
2,1,Fz,SELECTED,0.68359375,49.970503510245273,38.56390228209888,62.052141457430309
2,1,Fz,SELECTED,0.6875,50.314642434792987,38.859668511994698,62.166382396910052
2,1,Fz,SELECTED,0.69140625,50.574831022126602,39.014891069282811,62.320518050994124
2,1,Fz,SELECTED,0.6953125,50.797208346146789,39.326411844643765,62.536637760439675
2,1,Fz,SELECTED,0.69921875,51.021628901308674,39.687947790527716,62.693564911752041
2,1,Fz,SELECTED,0.703125,51.267134835281965,40.058201618612649,62.723480996411013
2,1,Fz,SELECTED,0.70703125,51.526130975714537,40.438955818749072,62.737682225352607
2,1,Fz,SELECTED,0.7109375,51.771635114821748,40.9275714089462,62.788654532840532
2,1,Fz,SELECTED,0.71484375,51.974275244519639,41.396754753796586,62.805514327476899
2,1,Fz,SELECTED,0.71875,52.118663894676949,41.703038766686348,62.780627105823534
2,1,Fz,SELECTED,0.72265625,52.209316506961486,41.942125767812598,62.708985669400164
2,1,Fz,SELECTED,0.7265625,52.264303965899259,42.186570594187202,62.563116075562647
2,1,Fz,SELECTED,0.73046875,52.30257358520798,42.485593824715494,62.29207974512466
2,1,Fz,SELECTED,0.734375,52.332118583330129,42.843030339502789,61.837224276284822
2,1,Fz,SELECTED,0.73828125,52.342685963335256,43.239405476872371,61.453413730016422
2,1,Fz,SELECTED,0.7421875,52.30424369903691,43.526956518770227,61.001871086810645
2,1,Fz,SELECTED,0.74609375,52.172756305757517,43.664392074506239,60.550301765308738
2,1,Fz,SELECTED,0.75,51.904143213911532,43.785492895262379,59.925462596800131
2,1,Fz,SELECTED,0.75390625,51.472814375976448,43.683113802901666,59.303368898655911
2,1,Fz,SELECTED,0.7578125,50.886431039722396,43.358827860028754,58.572854572796068
2,1,Fz,SELECTED,0.76171875,50.189003321614059,42.705904569832605,57.891155793707085
2,1,Fz,SELECTED,0.765625,49.450167057984707,41.758361972518664,57.107207010711818
2,1,Fz,SELECTED,0.76953125,48.745262022496988,40.772046987772114,56.27315754583335
2,1,Fz,SELECTED,0.7734375,48.135204575938523,40.245817470430723,55.566492059311763
2,1,Fz,SELECTED,0.77734375,47.654638147750106,39.72418560558534,55.099862015428165
2,1,Fz,SELECTED,0.78125,47.31075848499394,39.466971998470974,54.527114170213935
2,1,Fz,SELECTED,0.78515625,47.088211953519263,39.433963917380773,53.890507347942538
2,1,Fz,SELECTED,0.7890625,46.954282095875016,39.485447706309195,53.515058629563818
2,1,Fz,SELECTED,0.79296875,46.863318286353298,39.454068598471878,53.413067635574009
2,1,Fz,SELECTED,0.796875,46.763110259381271,39.686523392075841,53.101529227718558
2,1,F3,SELECTED,-0.19921875,-4.251814815106763,-11.883839565208737,2.5411475155799392
