task,repeat,method,contrast,channel,correlation,rmse,rms_half_a,rms_half_b
1,5,W0,difference,F3,0.040894770431705307,7.6869510266826921,6.2902650490915928,3.8449642122055345
1,5,W0,difference,F4,-0.02053417820172827,11.235790641142604,3.9630201969492589,9.0505411674493246
1,5,SELECTED,common,Fz,0.75214386858157622,5.1573392236999389,6.2766923743929759,5.4264438561496
1,5,SELECTED,common,F3,0.76904908497935487,7.4450582371775438,6.5265598388806572,7.726622070014689
1,5,SELECTED,common,F4,0.76423069584342362,7.3277162684815496,8.0450255238862702,7.3220231572233638
1,5,SELECTED,difference,Fz,0.057492533551585172,7.4669125740584166,5.0632945252911945,5.8508840231006003
1,5,SELECTED,difference,F3,0.058584361577701485,7.4213071839534397,6.1569565916843549,3.6803541780045461
1,5,SELECTED,difference,F4,0.0059712612650283017,10.951145118410993,3.7884658452119404,8.8848936134885168
1,6,P0,common,Fz,0.14297193824092824,15.119028199715782,19.740878462100763,11.312935996327299
1,6,P0,common,F3,0.88261993825479035,2.803685887572358,5.5517932943731809,4.4352765575005284
1,6,P0,common,F4,0.86964027588046566,5.2374882945187657,9.5017795623138728,6.4574022802730413
1,6,P0,difference,Fz,-0.044149076805237983,21.542011019385157,37.201479809209545,30.074596412431774
1,6,P0,difference,F3,-0.53582684320106677,9.9309833725114895,4.7171069174081159,6.4127513463034589
1,6,P0,difference,F4,0.29997748011561798,24.444196204525884,17.113784625312565,9.1963136058568509
1,6,W0,common,Fz,0.83308854235863361,8.9464638048631162,7.2638297055501857,6.5504587682485074
1,6,W0,common,F3,0.90542363881584498,6.49144728056981,8.8123201778517846,4.5402480008173089
1,6,W0,common,F4,0.91902216379789758,4.0068528437602575,8.3500765921400042,5.8226067032846363
1,6,W0,difference,Fz,-0.019576599188905062,7.1251778332545443,5.1474622787010622,7.3469908971452584
1,6,W0,difference,F3,-0.34595007975124192,8.6834359451961394,8.0648036118095821,4.1375210911955831
1,6,W0,difference,F4,-0.0059947828546167738,11.726392037921025,8.7535350039627193,5.0198996840798076
1,6,SELECTED,common,Fz,0.21778836487314085,10.476792158394609,7.2418520622853038,11.312935996327299
1,6,SELECTED,common,F3,0.90018836167381477,5.5104380318126696,8.7941775850336334,4.4352765575005284
1,6,SELECTED,common,F4,0.92280930541362483,3.5549211111326624,8.323333766246872,6.4574022802730413
1,6,SELECTED,difference,Fz,0.011690732366336399,27.014311777415397,5.050141259062416,30.074596412431774
1,6,SELECTED,difference,F3,-0.66933612201252457,8.1418703741649239,8.0119870144173628,6.4127513463034589
1,6,SELECTED,difference,F4,0.39490331708058646,15.489647580443972,8.5626409100163787,9.1963136058568509
1,7,P0,common,Fz,0.61899084263294213,20.913603957164845,24.39142708620404,5.3866767965047586
1,7,P0,common,F3,0.27906938969251371,7.7469169196862593,6.957330587645548,5.1966039637081511
1,7,P0,common,F4,0.23338220086585099,10.595134035661985,10.79717539152189,6.788410681898708
1,7,P0,difference,Fz,-0.46096898572511819,76.273318431889791,69.361836050289341,7.7649091996300683
1,7,P0,difference,F3,-0.2082106590902712,15.778731078906583,9.7471363017607171,6.7208124570323902
1,7,P0,difference,F4,0.2449265560695946,10.356901720718653,7.7137860175993538,8.5491310438163612
1,7,W0,common,Fz,0.86737258819119489,5.773012778428444,6.8954765465506753,5.1736690184240608
1,7,W0,common,F3,0.38510635550961958,14.844023518720871,8.8519488770423838,10.374183026783381
1,7,W0,common,F4,0.49249080849964016,13.958693398909958,10.952850222937204,8.3618815404563058
1,7,W0,difference,Fz,0.44569214775483312,13.889719610479618,10.35145975418726,5.0371007531798195
1,7,W0,difference,F3,-0.026301582737016181,5.0792051997213843,5.5871528682814642,2.46928920057249
1,7,W0,difference,F4,0.59796675841814195,4.3626002042167835,5.9011400395757292,3.0655597324748514
1,7,SELECTED,common,Fz,0.87779267577197795,5.7144944718990951,6.8814127542321071,5.1244734341706275
1,7,SELECTED,common,F3,0.38621652089536745,14.824342246813936,8.8495262041723972,10.358236959573098
1,7,SELECTED,common,F4,0.49576927666098602,13.94879588048957,10.957594432338869,8.3359098761810397
1,7,SELECTED,difference,Fz,0.49838134887248908,13.807124572196601,10.343512472736085,4.8902615244343597
1,7,SELECTED,difference,F3,-0.048381628811935654,4.8617732021989442,5.4999265926672285,2.2352439891972415
1,7,SELECTED,difference,F4,0.66841696424787778,4.1247647712189375,5.8292648623114118,2.8545677005179053
1,8,P0,common,Fz,0.27957827762542026,12.282926083448126,17.626754462337757,12.214202267605929
1,8,P0,common,F3,0.026055220410966855,20.600092085976257,11.706166952462373,10.928881451071538
1,8,P0,common,F4,0.27580436518707119,20.687174723680233,8.810831735428394,15.801768231341912
1,8,P0,difference,Fz,-0.1748828263466059,22.566531584374932,31.133412762500573,36.190160395899341
1,8,P0,difference,F3,-0.34014340720317843,5.9962428647607968,4.6948843144636987,5.8162532720876987
1,8,P0,difference,F4,-0.73026466865167527,20.749880463946891,13.914646438495653,7.58529267467281
1,8,W0,common,Fz,0.67849750591904612,6.2896161285091221,4.829632489087051,7.2783879246581193
1,8,W0,common,F3,0.22563081102581681,19.940499817905049,12.629703383788074,10.536281169031108
1,8,W0,common,F4,0.32171903283728759,21.951480842089889,11.795720604292535,13.90121364711781
1,8,W0,difference,Fz,-0.049864041989628682,14.072582069458374,4.4763617001252349,10.758182633577382
1,8,W0,difference,F3,-0.51887274889604373,8.8580792012904244,3.0620151994048124,8.5887345609900976
1,8,W0,difference,F4,-0.52453681403502084,22.475174251425507,12.981065739994527,10.180036455504688
