trial_key,task,channel,effective_pre_s,effective_post_s,rmse_native,training_scaled_rmse
A_Task-1_trial-093,1,F3,2,3,7.9747662729937545,0.067906758649716958
A_Task-1_trial-093,1,F4,2,3,7.687725544760645,0.05219530962246996
A_Task-1_trial-094,1,Fz,2,3,2.7133135022834942,0.027962808596872189
A_Task-1_trial-094,1,F3,2,3,6.5092461160202051,0.055427556101434822
A_Task-1_trial-094,1,F4,2,3,4.5812843402576693,0.031104330301084785
A_Task-1_trial-095,1,Fz,2,3,8.6097251199207285,0.088729922066658168
A_Task-1_trial-095,1,F3,2,3,9.4374919315131311,0.080362165474641395
A_Task-1_trial-095,1,F4,2,3,2.0221498236032636,0.013729253929717586
A_Task-1_trial-096,1,Fz,2,3,3.8486056996252178,0.039662878783775404
A_Task-1_trial-096,1,F3,2,3,2.6513677499187005,0.022576936266469727
A_Task-1_trial-096,1,F4,2,3,2.396067913400084,0.016267946337082295
A_Task-1_trial-097,1,Fz,2,3,8.5136258925643933,0.087739544692790022
A_Task-1_trial-097,1,F3,2,3,29.050388648968056,0.24736997463442725
A_Task-1_trial-097,1,F4,2,3,32.58624763766943,0.22124219640512566
A_Task-1_trial-098,1,Fz,2,3,4.7578636427149839,0.049033489959523099
A_Task-1_trial-098,1,F3,2,3,4.6404949732948602,0.039514759602912015
A_Task-1_trial-098,1,F4,2,3,10.008457150119261,0.067951765024926197
A_Task-1_trial-099,1,Fz,2,3,5.0465259072150648,0.052008379386993354
A_Task-1_trial-099,1,F3,2,3,7.8934363395654339,0.06721421770603847
A_Task-1_trial-099,1,F4,2,3,5.7262460108213578,0.038877972655117707
A_Task-1_trial-100,1,Fz,2,3,1.3647051162872206,0.014064348968814658
A_Task-1_trial-100,1,F3,2,3,5.0565339090819279,0.043057415855679119
A_Task-1_trial-100,1,F4,2,3,2.8994601506903046,0.019685694998104374
A_Task-2_trial-001,2,Fz,2,3,4.5004596028630903,0.046380740878968041
A_Task-2_trial-001,2,F3,2,3,14.330292520406054,0.1220253587692601
A_Task-2_trial-001,2,F4,2,3,10.116830063163082,0.068687555827820601
A_Task-2_trial-002,2,Fz,2,3,0.38279322928734411,0.0039449823228065121
A_Task-2_trial-002,2,F3,2,3,7.3484154019984818,0.062573253444585877
A_Task-2_trial-002,2,F4,2,3,0.64341561779746959,0.0043684282420513127
