trial_key,task,record_id,split_role,method,weight,peak_to_peak_proxy,first_difference_rms_proxy,prebaseline_abs_error,native_anomaly_fraction,retained
A_Task-2_trial-015,2,A_Task-2,development,SELECTED,1,224.8801349576631,2.8629158227211593,9.7525473535700034e-16,0,True
A_Task-2_trial-016,2,A_Task-2,development,P0,1,141.11546899155752,2.6487997624531152,1.5325431555610005e-15,0,True
A_Task-2_trial-016,2,A_Task-2,development,W0,1,141.11546899155752,2.6487997624531152,1.5325431555610005e-15,0,True
A_Task-2_trial-016,2,A_Task-2,development,SELECTED,1,141.11546899155752,2.6487997624531152,1.5325431555610005e-15,0,True
A_Task-2_trial-017,2,A_Task-2,development,P0,1,124.36217270079143,2.6183809819345853,1.7415263131375004e-15,0,True
A_Task-2_trial-017,2,A_Task-2,development,W0,1,124.36217270079143,2.6183809819345853,1.7415263131375004e-15,0,True
A_Task-2_trial-017,2,A_Task-2,development,SELECTED,1,124.36217270079143,2.6183809819345853,1.7415263131375004e-15,0,True
A_Task-2_trial-018,2,A_Task-2,development,P0,1,73.713945776821987,2.0480566682960197,1.6370347343492503e-15,0,True
A_Task-2_trial-018,2,A_Task-2,development,W0,1,73.713945776821987,2.0480566682960197,1.6370347343492503e-15,0,True
A_Task-2_trial-018,2,A_Task-2,development,SELECTED,1,73.713945776821987,2.0480566682960197,1.6370347343492503e-15,0,True
A_Task-2_trial-019,2,A_Task-2,development,P0,1,128.51905887683424,2.7216803490082224,4.5279684141575009e-16,0,True
A_Task-2_trial-019,2,A_Task-2,development,W0,1,128.51905887683424,2.7216803490082224,4.5279684141575009e-16,0,True
A_Task-2_trial-019,2,A_Task-2,development,SELECTED,1,128.51905887683424,2.7216803490082224,4.5279684141575009e-16,0,True
A_Task-2_trial-020,2,A_Task-2,development,P0,1,195.48698696966764,2.5696399039322912,1.5325431555610005e-15,0,True
A_Task-2_trial-020,2,A_Task-2,development,W0,1,195.48698696966764,2.5696399039322912,1.5325431555610005e-15,0,True
A_Task-2_trial-020,2,A_Task-2,development,SELECTED,1,195.48698696966764,2.5696399039322912,1.5325431555610005e-15,0,True
A_Task-2_trial-021,2,A_Task-2,development,P0,1,194.2708961068254,2.2559141383743384,4.8762736767850013e-15,0,True
A_Task-2_trial-021,2,A_Task-2,development,W0,1,194.2708961068254,2.2559141383743384,4.8762736767850013e-15,0,True
A_Task-2_trial-021,2,A_Task-2,development,SELECTED,1,195.96934565382486,1.7954534552125316,7.6627157778050024e-16,0,True
A_Task-2_trial-022,2,A_Task-2,development,P0,1,201.87010832217936,2.227454572496268,1.1842378929335002e-15,0,True
A_Task-2_trial-022,2,A_Task-2,development,W0,1,201.87010832217936,2.227454572496268,1.1842378929335002e-15,0,True
A_Task-2_trial-022,2,A_Task-2,development,SELECTED,1,190.89567355857832,1.6689502958078497,1.2364836823276253e-15,0,True
A_Task-2_trial-023,2,A_Task-2,development,P0,1,209.7665635370164,2.4904226641541705,5.8515284121420013e-15,0,True
A_Task-2_trial-023,2,A_Task-2,development,W0,1,209.7665635370164,2.4904226641541705,5.8515284121420013e-15,0,True
A_Task-2_trial-023,2,A_Task-2,development,SELECTED,1,202.93721285532217,1.9774906404663402,3.1208151531424011e-14,0,True
A_Task-2_trial-024,2,A_Task-2,development,P0,1,56.686449892953256,1.7452792575741853,1.0797463141452502e-15,0,True
A_Task-2_trial-024,2,A_Task-2,development,W0,1,56.686449892953256,1.7452792575741853,1.0797463141452502e-15,0,True
A_Task-2_trial-024,2,A_Task-2,development,SELECTED,1,44.290634435300404,0.91250947804005766,2.5687513118778134e-16,0,True
A_Task-2_trial-025,2,A_Task-2,development,P0,1,197.92764374805625,2.2398480678401902,2.7864421010200007e-16,0,True
A_Task-2_trial-025,2,A_Task-2,development,W0,1,197.92764374805625,2.2398480678401902,2.7864421010200007e-16,0,True
A_Task-2_trial-025,2,A_Task-2,development,SELECTED,1,195.93431195506753,1.7899181075417374,6.6177999899225019e-16,0,True
A_Task-2_trial-026,2,A_Task-2,development,P0,1,197.3182277834083,3.1446968239191215,3.6920357838515013e-15,0,True
A_Task-2_trial-026,2,A_Task-2,development,W0,1,197.3182277834083,3.1446968239191215,3.6920357838515013e-15,0,True
A_Task-2_trial-026,2,A_Task-2,development,SELECTED,1,191.93122479627914,2.4888975463421121,1.9505094707140007e-15,0,True
A_Task-2_trial-027,2,A_Task-2,development,P0,1,196.08922476842105,2.2161583010123924,8.3593263030600021e-16,0,True
A_Task-2_trial-027,2,A_Task-2,development,W0,1,196.08922476842105,2.2161583010123924,8.3593263030600021e-16,0,True
A_Task-2_trial-027,2,A_Task-2,development,SELECTED,1,188.32124855509394,1.6927425878726325,7.6627157778050024e-16,0,True
A_Task-2_trial-028,2,A_Task-2,development,P0,1,210.13814077369273,2.2189419607651444,5.0852568343615014e-15,0,True
A_Task-2_trial-028,2,A_Task-2,development,W0,1,210.13814077369273,2.2189419607651444,5.0852568343615014e-15,0,True
A_Task-2_trial-028,2,A_Task-2,development,SELECTED,1,209.04696075313493,1.7332513654598924,1.8111873656630004e-15,0,True
A_Task-2_trial-029,2,A_Task-2,development,P0,1,200.01144295351097,2.5647149129098845,1.8808484181885005e-15,0,True
A_Task-2_trial-029,2,A_Task-2,development,W0,1,200.01144295351097,2.5647149129098845,1.8808484181885005e-15,0,True
A_Task-2_trial-029,2,A_Task-2,development,SELECTED,1,195.49795684102287,1.7900517599106929,1.7066957868747505e-15,0,True
A_Task-2_trial-030,2,A_Task-2,development,P0,1,2293.5669422968463,40.300081580206751,1.8947806286936004e-14,0.40234375,True
