task,condition,channel,method,selected_k,time_s,training_clean_mean,historical_P0_mean,fit,fit_ci_low,fit_ci_high
2,1,Fz,P0,2,0.1875,-19.179065443718912,-14.028526009254014,-22.637676640608746,-28.017115321351881,-18.31635247729967
2,1,Fz,P0,2,0.19140625,-19.541275109927849,-15.155481372742212,-22.715192361567702,-28.10916385112019,-18.369771804834969
2,1,Fz,P0,2,0.1953125,-19.98943615634197,-16.426202533126535,-22.76848874420531,-28.188057078089411,-18.392020270326565
2,1,Fz,P0,2,0.19921875,-20.508532829562153,-17.624393994556055,-22.798027251210534,-28.286460814800353,-18.394286459867363
2,1,Fz,P0,2,0.203125,-21.068328500201677,-18.565038907210859,-22.804357126614214,-28.357613127477183,-18.376970559136378
2,1,Fz,P0,2,0.20703125,-21.618505990435107,-19.165081842878305,-22.788119780548683,-28.402121386221626,-18.340547147426729
2,1,Fz,P0,2,0.2109375,-22.09587839877473,-19.471530947618387,-22.7500531484989,-28.420694537520266,-18.285569753133039
2,1,Fz,P0,2,0.21484375,-22.444161182448607,-19.640523141169783,-22.690995969165652,-28.414147320096571,-18.212675536195292
2,1,Fz,P0,2,0.21875,-22.634651582972975,-19.868963195599857,-22.611891916249174,-28.383404342366301,-18.122590054740119
2,1,Fz,P0,2,0.22265625,-22.673833579808488,-20.297571035866149,-22.513793510381085,-28.333701735277614,-18.016132062584951
2,1,Fz,P0,2,0.2265625,-22.594318782732344,-20.925640119806754,-22.397865728232105,-28.212577815419309,-17.894218272800806
2,1,Fz,P0,2,0.23046875,-22.437737630710348,-21.579014412132942,-22.265389216679676,-28.062767026450754,-17.757868010279712
2,1,Fz,P0,2,0.234375,-22.241553358059043,-21.952732552264571,-22.11776301103648,-27.893450688050645,-17.603999495247898
2,1,Fz,P0,2,0.23828125,-22.036031226598901,-21.725918201555373,-21.956506647947126,-27.706353169469086,-17.428086767371333
2,1,Fz,P0,2,0.2421875,-21.849660130318831,-20.717707842374534,-21.783261555909238,-27.503352851491535,-17.220230898148497
2,1,Fz,P0,2,0.24609375,-21.716436486096899,-19.015343460937284,-21.599791599741824,-27.286484570448575,-17.003308808963716
2,1,Fz,P0,2,0.25,-21.677139940938751,-16.992053670075105,-21.407982650000683,-27.057940954279996,-16.779071205982405
2,1,Fz,P0,2,0.25390625,-21.769155484000478,-15.182645420529195,-21.209841044632526,-26.820072463833586,-16.549391095646346
2,1,Fz,P0,2,0.2578125,-22.006567920250255,-14.075281280369367,-21.007490808379213,-26.575385945790881,-16.318067545686723
2,1,Fz,P0,2,0.26171875,-22.361260943053107,-13.929589776429452,-20.803169495902512,-26.326541499655246,-16.118675914776986
2,1,Fz,P0,2,0.265625,-22.759158236431606,-14.700706550387466,-20.59922252760315,-26.048462662663876,-15.92288945510569
2,1,Fz,P0,2,0.26953125,-23.099173587861642,-16.078157096023705,-20.398095892941615,-25.746128027338592,-15.732946871745053
2,1,Fz,P0,2,0.2734375,-23.289254736063583,-17.602381315540747,-20.202327104995575,-25.441565436097875,-15.551140247585561
2,1,Fz,P0,2,0.27734375,-23.282103114462601,-18.810514617461639,-20.014534302231517,-25.137807455083028,-15.379803655379291
2,1,Fz,P0,2,0.28125,-23.091138532909657,-19.3635164232394,-19.837403409207383,-24.839563137024211,-15.203472179082649
2,1,Fz,P0,2,0.28515625,-22.778954554292014,-19.119782261151364,-19.673673287275616,-24.644768586630949,-15.027245413403705
2,1,Fz,P0,2,0.2890625,-22.428484210211206,-18.153000253746253,-19.526118829377396,-24.583469605283756,-14.867842299926531
2,1,Fz,P0,2,0.29296875,-22.115793582815517,-16.733957002919883,-19.397531979681968,-24.543515974511479,-14.727852290815862
2,1,Fz,P0,2,0.296875,-21.895564543784015,-15.27861267943948,-19.290700689019875,-24.525928047609657,-14.609858032483636
2,1,Fz,P0,2,0.30078125,-21.796106612837843,-14.241719522362018,-19.208385850579752,-24.532920798120319,-14.5164149470992
2,1,Fz,P0,2,0.3046875,-21.815914139154273,-13.96128961210934,-19.153296296880949,-24.588136412702777,-14.450029098406185
2,1,Fz,P0,2,0.30859375,-21.921668228533775,-14.519365681854939,-19.128061978190377,-24.677316242186766,-14.41313343609117
2,1,Fz,P0,2,0.3125,-22.056040458475621,-15.702839281314168,-19.135205483808306,-24.769973810926061,-14.406362869237496
2,1,Fz,P0,2,0.31640625,-22.159907367493993,-17.090546040769109,-19.177112110389647,-24.899412992875764,-14.43184892972981
2,1,Fz,P0,2,0.3203125,-22.199971947116623,-18.214837382915025,-19.255998724976624,-25.07320994551554,-14.493844961123461
2,1,Fz,P0,2,0.32421875,-22.184320660083962,-18.718455690242354,-19.373881713891162,-25.293450996990245,-14.575978412208363
2,1,Fz,P0,2,0.328125,-22.154778994608254,-18.453867579686882,-19.53254435118069,-25.561913591963311,-14.667771823518329
2,1,Fz,P0,2,0.33203125,-22.160428685979394,-17.506216631282818,-19.733503960975138,-25.880027017523023,-14.801897430431243
2,1,Fz,P0,2,0.3359375,-22.22900746123976,-16.141181629987106,-19.977979285890477,-26.248833830843932,-14.978172824222234
2,1,Fz,P0,2,0.33984375,-22.354476732994186,-14.699208412027639,-20.266858507469813,-26.667755434821412,-15.197318762316256
2,1,Fz,P0,2,0.34375,-22.508890099388175,-13.4793548823913,-20.600668393547302,-27.089720946453497,-15.462669711476277
2,1,Fz,P0,2,0.34765625,-22.67010574086013,-12.657474259930106,-20.979545070326374,-27.550244613204907,-15.775012922211188
2,1,Fz,P0,2,0.3515625,-22.845152709649856,-12.260561562512175,-21.403206932908187,-28.048320545248053,-16.134738468268864
2,1,Fz,P0,2,0.35546875,-23.072262500042626,-12.195848356679679,-21.870930216081952,-28.582525228086372,-16.541806682444268
2,1,Fz,P0,2,0.359375,-23.400607924481278,-12.320513270420305,-22.381527746592962,-29.151005901101158,-16.995718194411364
2,1,Fz,P0,2,0.36328125,-23.861991209872322,-12.523490819908092,-22.933331388166859,-29.751472656064312,-17.487411020290743
2,1,Fz,P0,2,0.3671875,-24.451990990139461,-12.779324224027169,-23.524178670770329,-30.438832724140443,-17.977711152969707
2,1,Fz,P0,2,0.37109375,-25.130503891878206,-13.148311336876805,-24.151404065597347,-31.193673676797779,-18.502254215047437
2,1,Fz,P0,2,0.375,-25.840666229142677,-13.732206067134403,-24.811835326953471,-31.975688488348428,-19.060778656276366
