task,partition,inner_fold,candidate,loss,n_train,n_validation
2,outer_0,3,U4_L100,0.027322274145157345,80,40
2,outer_1,0,P0,0.093300534845012967,80,40
2,outer_1,0,W0,0.070359641544670989,80,40
2,outer_1,0,U0_L1,0.070351708628121262,80,40
2,outer_1,0,U0_L10,0.070308318105249956,80,40
2,outer_1,0,U0_L100,0.070137696424224308,80,40
2,outer_1,0,U2_L1,0.070352273395679524,80,40
2,outer_1,0,U2_L10,0.070319073177600833,80,40
2,outer_1,0,U2_L100,0.070230709554625362,80,40
2,outer_1,0,U4_L1,0.070352047800042672,80,40
2,outer_1,0,U4_L10,0.070315976813731695,80,40
2,outer_1,0,U4_L100,0.070232485321866739,80,40
2,outer_1,2,P0,0.19259802121487385,80,40
2,outer_1,2,W0,0.19174711691764815,80,40
2,outer_1,2,U0_L1,0.19173024015801313,80,40
2,outer_1,2,U0_L10,0.19166699958699154,80,40
2,outer_1,2,U0_L100,0.19156524073209258,80,40
2,outer_1,2,U2_L1,0.19173448256606615,80,40
2,outer_1,2,U2_L10,0.19168087057799524,80,40
2,outer_1,2,U2_L100,0.19154530282385404,80,40
2,outer_1,2,U4_L1,0.19173937558215837,80,40
2,outer_1,2,U4_L10,0.19170950470516893,80,40
2,outer_1,2,U4_L100,0.19164037182693658,80,40
2,outer_1,3,P0,0.05539162626564087,80,40
2,outer_1,3,W0,0.045326820311877486,80,40
