task,method,family,time_s,truth_F3,restored_F3
1,P0,slow_common,-0.12890625,-0.40819263125348026,-0.076706007018229272
1,P0,slow_common,-0.125,-0.37569425092256936,-0.092247868837501912
1,P0,slow_common,-0.12109375,-0.34197707762321061,-0.10655958330053217
1,P0,slow_common,-0.1171875,-0.30700823863348081,-0.11960356735381339
1,P0,slow_common,-0.11328125,-0.27075460379847238,-0.13134195897752576
1,P0,slow_common,-0.109375,-0.23318281677372699,-0.14173664897637117
1,P0,slow_common,-0.10546875,-0.19425932801712764,-0.1507493145249228
1,P0,slow_common,-0.1015625,-0.15395042954265381,-0.15834145448084147
1,P0,slow_common,-0.09765625,-0.11222229144605556,-0.16447442647591792
1,P0,slow_common,-0.09375,-0.069041000208914793,-0.16910948579135887
1,P0,slow_common,-0.08984375,-0.024372598783850563,-0.17220782601999041
1,P0,slow_common,-0.0859375,0.02181687154025691,-0.17373062151416718
1,P0,slow_common,-0.08203125,0.069561327498244951,-0.17363907161411429
1,P0,slow_common,-0.078125,0.11889459844324368,-0.17189444664720011
1,P0,slow_common,-0.07421875,0.16985037918964263,-0.16845813568427825
1,P0,slow_common,-0.0703125,0.22246218112275629,-0.16329169603471172
1,P0,slow_common,-0.06640625,0.27676328159814267,-0.15635690445702544
1,P0,slow_common,-0.0625,0.33278667165834896,-0.14761581005735103
1,P0,slow_common,-0.05859375,0.39056500209972178,-0.13703078884290676
1,P0,slow_common,-0.0546875,0.45013052792702934,-0.12456459989271185
1,P0,slow_common,-0.05078125,0.51151505123869256,-0.11018044310261121
1,P0,slow_common,-0.046875,0.57474986259071215,-0.093842018456457232
1,P0,slow_common,-0.04296875,0.63986568089269502,-0.075513586769947239
1,P0,slow_common,-0.0390625,0.70689259189471154,-0.055160031848273228
1,P0,slow_common,-0.03515625,0.77585998532921963,-0.032746923993263177
1,P0,slow_common,-0.03125,0.84679649077776875,-0.0082405847902142781
1,P0,slow_common,-0.02734375,0.91972991233767831,0.018391846900904341
1,P0,slow_common,-0.0234375,0.99468716216946196,0.04718234783074049
1,P0,slow_common,-0.01953125,1.0716941930113053,0.078161942208730739
1,P0,slow_common,-0.015625,1.1507759297523814,0.11136063260607942
1,P0,slow_common,-0.01171875,1.2319562001623321,0.14680733001095359
1,P0,slow_common,-0.0078125,1.3152576648796506,0.18452978313874091
1,P0,slow_common,-0.00390625,1.400701746767077,0.22455450710560054
1,P0,slow_common,0,1.4883085597474175,0.26690671157882173
1,P0,slow_common,0.00390625,1.5780968372383855,0.31161022852269049
1,P0,slow_common,0.0078125,1.6700838603101145,0.35868743966364391
1,P0,slow_common,0.01171875,1.7642853856939225,0.40815920380340032
1,P0,slow_common,0.015625,1.8607155737756977,0.46004478411353844
1,P0,slow_common,0.01953125,1.9593869167118163,0.51436177554957307
1,P0,slow_common,0.0234375,2.0603101668099528,0.5711260325269798
1,P0,slow_common,0.02734375,2.1634942653212414,0.63035159700578092
1,P0,slow_common,0.03125,2.2689462717942703,0.69205062713425569
1,P0,slow_common,0.03515625,2.3766712941449981,0.75623332660601372
1,P0,slow_common,0.0390625,2.4866724196001382,0.82290787488807826
1,P0,slow_common,0.04296875,2.5989506466746208,0.89208035848074685
1,P0,slow_common,0.046875,2.7135048183466131,0.96375470337277935
1,P0,slow_common,0.05078125,2.8303315565959819,1.0379326088579681
1,P0,slow_common,0.0546875,2.9494251984742368,1.1146134828812473
1,P0,slow_common,0.05859375,3.0707777338757678,1.1937943790842613
1,P0,slow_common,0.0625,3.1943787451815453,1.275469935721703
1,P0,slow_common,0.06640625,3.3202153489474444,1.3596323166207105
1,P0,slow_common,0.0703125,3.448272139809923,1.4462711543561886
1,P0,slow_common,0.07421875,3.5785311367819537,1.5353734958150635
1,P0,slow_common,0.078125,3.7109717321117879,1.6269237503221996
1,P0,slow_common,0.08203125,3.8455706428764067,1.7209036404999569
1,P0,slow_common,0.0859375,3.9823018654803173,1.8172921560321846
1,P0,slow_common,0.08984375,4.1211366332286774,1.9160655105017566
1,P0,slow_common,0.09375,4.2620433771415875,2.0171971014686187
1,P0,slow_common,0.09765625,4.4049876901737131,2.1206574739526793
1,P0,slow_common,0.1015625,4.549932295000362,2.2264142874827426
1,P0,slow_common,0.10546875,4.6968370155274144,2.334432286869069
1,P0,slow_common,0.109375,4.8456587522784584,2.4446732768530159
1,P0,slow_common,0.11328125,4.9963514618077873,2.5570961007825854
1,P0,slow_common,0.1171875,5.148866140282883,2.6716566234575927
1,P0,slow_common,0.12109375,5.3031508113742838,2.78830771828253
1,P0,slow_common,0.125,5.4591505185846829,2.9069992588590896
1,P0,slow_common,0.12890625,5.6168073221424679,3.0276781151436891
1,P0,slow_common,0.1328125,5.7760603005778073,3.1502881542882597
1,P0,slow_common,0.13671875,5.9368455570918632,3.2747702462749717
1,P0,slow_common,0.140625,6.0990962308215693,3.4010622744475483
1,P0,slow_common,0.14453125,6.2627425130940813,3.5290991510333103
1,P0,slow_common,0.1484375,6.4277116687559035,3.6588128377411877
1,P0,slow_common,0.15234375,6.5939280626524832,3.7901323715115489
1,P0,slow_common,0.15625,6.7613131913241746,3.9229838954839571
1,P0,slow_common,0.16015625,6.9297857199744604,4.0572906952387946
1,P0,slow_common,0.1640625,7.0992615247556392,4.192973240358187
1,P0,slow_common,0.16796875,7.2696537404064818,4.3299492313407795
1,P0,slow_common,0.171875,7.4408728132649857,4.4681336518937211
1,P0,slow_common,0.17578125,7.6128265596680711,4.6074388266137349
1,P0,slow_common,0.1796875,7.7854202297381159,4.7477744840573877
1,P0,slow_common,0.18359375,7.9585565765443329,4.8890478251886451
1,P0,slow_common,0.1875,8.1321359306147194,5.0311635971796198
1,P0,slow_common,0.19140625,8.3060562797619575,5.1740241725279636
1,P0,slow_common,0.1953125,8.4802133541740403,5.317529633441854
1,P0,slow_common,0.19921875,8.6545007167077177,5.4615778614308095
1,P0,slow_common,0.203125,8.8288098583101675,5.6060646320278291
1,P0,slow_common,0.20703125,9.0030302984814359,5.7508837145555409
1,P0,slow_common,0.2109375,9.1770496906773467,5.8959269768362255
1,P0,slow_common,0.21484375,9.3507539325398614,6.0410844947327682
1,P0,slow_common,0.21875,9.5240272808290545,6.1862446663948658
1,P0,slow_common,0.22265625,9.6967524709182715,6.3312943310721774
1,P0,slow_common,0.2265625,9.86881084070151,6.4761188923435746
1,P0,slow_common,0.23046875,10.040082458749749,6.6206024455993333
1,P0,slow_common,0.234375,10.210446256540791,6.7646279096009971
1,P0,slow_common,0.23828125,10.379780164575365,6.9080771619317094
1,P0,slow_common,0.2421875,10.547961252180592,7.0508311781383135
1,P0,slow_common,0.24609375,10.714865870790707,7.1927701743551644
1,P0,slow_common,0.25,10.880369800483974,7.3337737531887672
1,P0,slow_common,0.25390625,11.044348399544312,7.4737210526318112
1,P0,slow_common,0.2578125,11.206676756805942,7.6124908977651202
1,P0,slow_common,0.26171875,11.36722984653,7.7499619549964347
1,P0,slow_common,0.265625,11.525882685552659,7.8860128885758547
1,P0,slow_common,0.26953125,11.682510492436073,8.0205225191191936
1,P0,slow_common,0.2734375,11.836988848345174,8.1533699838625253
1,P0,slow_common,0.27734375,11.989193859366205,8.2844348983638234
1,P0,slow_common,0.28125,12.139002319975914,8.4135975193607671
1,P0,slow_common,0.28515625,12.286291877364393,8.5407389084877643
1,P0,slow_common,0.2890625,12.430941196308943,8.6657410965497519
1,P0,slow_common,0.29296875,12.572830124291819,8.7884872480456249
1,P0,slow_common,0.296875,12.711839856550515,8.9088618256301242
1,P0,slow_common,0.30078125,12.847853100746143,9.02675075419981
1,P0,slow_common,0.3046875,12.98075424093286,9.1420415842861793
1,P0,slow_common,0.30859375,13.110429500509667,9.2546236544373315
1,P0,slow_common,0.3125,13.236767103834918,9.3643882522686113
1,P0,slow_common,0.31640625,13.359657436183754,9.4712287738625616
1,P0,slow_common,0.3203125,13.47899320172942,9.5750408811991825
1,P0,slow_common,0.32421875,13.594669579230828,9.6757226572989978
1,P0,slow_common,0.328125,13.706584375111143,9.7731747587637354
1,P0,slow_common,0.33203125,13.814638173615208,9.8673005654025694
1,P0,slow_common,0.3359375,13.918734483737644,9.9580063266358021
1,P0,slow_common,0.33984375,14.018779882618185,10.045201304372654
1,P0,slow_common,0.34375,14.114684155106396,10.128797912065329
